"","kratica","datum","tip","tecaj"
"488","WST",2016-09-03,"nakupni",2.5726781024
"489","SPL",2016-09-03,"nakupni",0.1666666667
"490","ERN",2016-09-03,"nakupni",10.4699971239
"491","FKP",2016-09-03,"nakupni",0.7521681246
"492","SHP",2016-09-03,"nakupni",0.7521681246
"493","JEP",2016-09-03,"nakupni",0.7521681246
"494","TMT",2016-09-03,"nakupni",3.5
"495","TVD",2016-09-03,"nakupni",1.3205329671
"496","IMP",2016-09-03,"nakupni",0.7521681246
"497","GGP",2016-09-03,"nakupni",0.7521681246
"498","ZMW",2016-09-03,"nakupni",9.7346926339
"499","USD",2016-09-04,"nakupni",1
"500","EUR",2016-09-04,"nakupni",0.8963
"501","GBP",2016-09-04,"nakupni",0.7522190462
"502","INR",2016-09-04,"nakupni",66.5828
"503","AUD",2016-09-04,"nakupni",1.3208294809
"504","CAD",2016-09-04,"nakupni",1.2995
"505","SGD",2016-09-04,"nakupni",1.3603
"506","CHF",2016-09-04,"nakupni",0.98087
"507","MYR",2016-09-04,"nakupni",4.0883
"508","JPY",2016-09-04,"nakupni",103.97
"509","CNY",2016-09-04,"nakupni",6.68255
"510","NZD",2016-09-04,"nakupni",1.3708019191
"511","THB",2016-09-04,"nakupni",34.63
"512","HUF",2016-09-04,"nakupni",277.99
"513","AED",2016-09-04,"nakupni",3.6731485495
"514","HKD",2016-09-04,"nakupni",7.75545
"515","MXN",2016-09-04,"nakupni",18.5908
"516","ZAR",2016-09-04,"nakupni",14.487905
"517","PHP",2016-09-04,"nakupni",46.62
"518","SEK",2016-09-04,"nakupni",8.5906
"519","IDR",2016-09-04,"nakupni",13202
"520","SAR",2016-09-04,"nakupni",3.75065
"521","BRL",2016-09-04,"nakupni",3.25745
"522","TRY",2016-09-04,"nakupni",2.9505
"523","KES",2016-09-04,"nakupni",101.1714643861
"524","KRW",2016-09-04,"nakupni",1116.3
"525","EGP",2016-09-04,"nakupni",8.8822
"526","IQD",2016-09-04,"nakupni",1167
"527","NOK",2016-09-04,"nakupni",8.322995
